Distributor,Producer,Title,Place,Region,Country,Grape,Vintage,Price,Type,Code,Score,BTG,Bottle,Notes
Chambers,Ramey,Rodgers Creek Vineyard,Sonoma,California,USA,Syrah,2015,46,Red,RMY410,96,,8,
Winebow,Andrew Murray,Tous Les Jours,Santa Ynez,California,USA,Syrah,2016,14,Red,AMVSTJ16C,92,5,,
,,,,,,,,,,,,,,
Grenache,,,,,,,,,,,,,,
Chambers,Barroche,CDP Rouge Signature,CDP,S. Rhone,France,Grenache/Syrah/Mourvèdre,2016,43,Red,BRR300,95,,,
Chambers,Beaurenard,CDP Rouge,CDP,S. Rhone,France,Grenache/Syrah/Mourvèdre,2015,36,Red,BRN300,94,,10,
Chambers,Foxen,Cuvee Jeanne Marie,Santa Ynez,California,USA,Grenache/Syrah/Mourvèdre,2014,28.67,Red,FXN510,91,,,
Chambers,L'Aventure,Cote a Cote,Paso,California,USA,Grenache/Syrah/Mourvèdre,2016,72,Red,FAV350,98,,,
Winebow,Domaine du Pegau,Cuvée Maclura,CdR,Côtes du Rhone,France,Grenache/Syrah/Mourvèdre,2015,15,Red,PGUMAC15C,90,4,,
Winebow,Couroulu,Cuvee Classique,Vacqueryas,S. Rhone,France,Grenache/Syrah/Mourvèdre,2015,18,Red,DCUVCC15C,92,,9,
,,,,,,,,,,,,,,
Malbec,,,,,,,,,,,,,,
Chambers,Crocus,Le Calcifiere,Cahors,Cahors,France,Malbec,2014,30,Red,CRO300,92,,,
,,,,,,,,,,,,,,
Nebbiolo,,,,,,,,,,,,,,
Chambers,Oberto,Barolo,Barolo,Langhe,Italy,Nebbiolo,2013,31.33,Red,OBR320,92,,14,
Chambers,Oberto,Brunate,Barolo,Langhe,Italy,Nebbiolo,2012,70,Red,OBR330,96,,,
McCrum,Balgera,Grumello,Valtellina,Lombardy,Italy,Nebbiolo,2004,25,Red,,,,,
,,,,,,,,,,,,,,
Sangiovese,,,,,,,,,,,,,,
Chambers,Casanova di Neri,White Label,Brunello,Tuscany,Italy,Sangiovese,2013,45,Red,CDN350,94,,,
Chambers,Casanova di Neri,Tenuta Nuova,Brunello,Tuscany,Italy,Sangiovese,2013,77,Red,CDN340,98,,,
Chambers,Piancornello,Brunello,Brunello,Tuscany,Italy,Sangiovese,2013,35,Red,PNC320,96,,11,
Chambers,Fattoria Selvapiana,Chianti Rufina,Chianti Rufina,Tuscany,Italy,Sangiovese,2015,16,Red,SLV300,92,3,,
,,,,,,,,,,,,,,
Zinfandel,,,,,,,,,,,,,,
Chambers,Easton,Old Vine Rinaldi,Sierra Foothills,California,USA,Zinfandel,2012,26.5,Red,EST430,93,,,
Chambers,Mauritson,Dry Creek Valley,Dry Creek,California,USA,Zinfandel,2015,21.33,Red,MRT400,93,,12,
,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,
Chambers,Uliz,Ascendance,Savoie,Savoie,France,Mondeuse,2012,26.67,Red,ULZ510,91,,,syrah-ish
Chambers,Vietti,Scarrone,Alba,Langhe,Italy,Barbera,2016,31.33,Red,VTT440,93,,,
Chambers,Bonny Doon,Cigare Volant,Central Coast,California,USA,Grenache/Syrah/Mourvèdre,2012,33.33,Red,BND300,91,,,
Skurnik,Graillot & Raul Perez,Bierzo Encinas,,Bierzo,Spain,Mencia,2017,20,Red,ES-GRP-01-17,94,,13,"berry, floral, earthy"
Winebow,Cortese,Barbera d'Alba,Alba,Langhe,Italy,Barbera,2016,13,Red,CRSBDA16C,88,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
~~ ROSÉ ~~,,,,,,,,,,,,,,
Chambers,Liquid Farm,Vogelzang Vineyard,Central Coast,California,USA,Mourvèdre,2016,18.5,Rosé,LQF200,91,,1,
Chambers,Quivira,Rosé,Dry Creek,California,USA,Grenache/Syrah/Mourvèdre,2017,15.33,Rosé,QVR130,91,,,
Skurnik,Lieu Dit,Santa Barbara Rosé,Santa Barbara,California,USA,Pinot Noir,2017,16.5,Rosé,US-LUD-01-18,92,,,
Revel,Smockshop Band,Ephemeral,Columbia Gorge,Oregon,USA,Grenache,2018,11.5,Rosé,,,1,,natty
Revel,Pax Mahle,,Russian River Valley,California,USA,Trousseau Gris,2018,15,Rosé,,,3,,natty?
Revel,Cep,,Russian River Valley,California,USA,Pinot Noir,2018,16,Rosé,,90,2,,
Revel,Young Inglewood,Vin Clair,Napa,California,USA,Malbec/Merlot,2017,16,Rosé,,93,,2,
Winebow,Lumen,Starry Rosé,Santa Maria,California,USA,Grenache/Pinot Noir,2018,16,Rosé,LUMRSE18C,91,,,
Winebow,Joullian,Rosé,Monterey,California,USA,,2018,13.5,Rosé,JOUROE18C,88,,,
Winebow,Domaine du Pegau,Pink Rosé,CdR,S. Rhone,France,Cinsault/Grenache,2018,14,Rosé,PGUPPR18C,91,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
~~ DESSERT ~~,,,,,,,,,,,,,,
Chambers,Vignalta,Fior d'Arancio,Veneto,Veneto,Italy,Orange Muscat,2015,14,Dessert,,,,,
Chambers,Vietti,Cascienneta Vietti,Asti,Langhe,Italy,Moscato,2017,12,Dessert,VTT220,92,,,
Chambers,Badia,Vin Santo,Chianti,Tuscany,Italy,Trebbiano,2010,32,Dessert,CLT370,,,,
Chambers,Jonata,Le Miel,Santa Ynez,California,USA,Semillon,NV,30,Dessert,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Madeira,,,,,,,,,,,,,,
Chambers,Cossart Gordon,15 Year Bual,,Madeira,Portugal,Bual,NV,35,Madeira,CSS420,,,,
Chambers,Cossart Gordon,1962 Bual,,Madeira,Portugal,Bual,1962,250,Madeira,CSS420,,,,
Chambers,Cossart Gordon,1987 Bual,,Madeira,Portugal,Bual,1987,145,Madeira,CSS420,,,,
,,,,,,,,,,,,,,
Armagnac,,,,,,,,,,,,,,
Chambers,Boingneres,2001 Folle Blanche,Bas-Armagnac,Gascony,France,Folle Blanche,2001,129,Armagnac,CNL320,,,,
Chambers,Pellehaut,1994 Armagnac,Haut-Armagnac,Gascony,France,Ugni Blanc,1994,68,Armagnac,CNL810,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Calvados,,,,,,,,,,,,,,
Chambers,Lemorton,Reserve 6-year,Domfrontais,Calvados,France,,NV,50,Calvados,CNL900,,,,
Chambers,Lemorton,1987 Vintage,Domfrontais,Calvados,France,,1987,130,Calvados,CNL930,,,,
Chambers,Huard,Hors d'Age,Caligny,Calvados,France,,NV,61.67,Calvados,CNL730,,,,
Chambers,Huard,1999 Vintage,Caligny,Calvados,France,,1999,83,Calvados,CNL730,,,,
,,,,,,,,,,,,,,
Cognac,,,,,,,,,,,,,,
Chambers,Dudognon,Reserve 10-year,Grande Champagne,Gascony,France,,NV,41,Cognac,CNL550,,,,
Chambers,Dudognon,Vielle Reserve 20,Grande Champagne,Gascony,France,,20-year,81,Cognac,CNL510,,,,
